"name","phones","street","city","state","zipcode","categories","email","website","working_hours","payment_methods","extraction_date","original_listing_url"
Rodfather Sewer and Plumbing,(773) 680-9563,"10957 S Buffalo Ave",Chicago,IL,"60617",Plumbers,,http://yellowpages.com/chicago-il/mip/steves-plumbing-and-construction-inc-475491163,"Mon: 8:00 am - 5:00 pm, Sat: 8:00 am - 7:00 pm, Tue: 8:00 am - 7:00 pm, Wed - Fri: 8:00 am - 5:00 pm",,2025-12-12,https://www.yellowpages.com/chicago-il/mip/rodfather-sewer-and-plumbing-456827146
J & J Building Maintenance,"(708) 484-5631, (708) 484-7125, (714) 288-2732","2721 Ridgeland Ave",Berwyn,IL,"60402","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers",jjbm@sbcglobal.net,http://yellowpages.com/cicero-il/mip/magana-construction-6415273,"Mon - Fri: 9:00 am - 5:00 pm, Mon - Fri: 9:00 am - 5:00 pm, Mon - Fri: 9:00 am - 5:00 pm, Mon - Fri: 9:00 am - 5:00 pm, Mon - Fri: 9:00 am - 5:00 pm, Mon - Fri: 9:00 am - 5:00 pm, Mon - Fri: 9:00 am - 5:00 pm, Mon - Fri: 9:00 am - 5:00 pm, Mon - Fri: 9:00 am - 5:00 pm",,2025-12-12,https://www.yellowpages.com/berwyn-il/mip/j-j-building-maintenance-21851826
Willis Plumbing & Sewer,"(773) 299-8910, (773) 902-4320, (773) 978-1484","8910 S Luella Ave",Chicago,IL,"60617","Plumbers, Sewer Cleaners & Repairers",,http://willisplumbingsewer.localsearch.com,"Mon - Fri: 8:00 am - 7:00 pm, Mon - Fri: 8:00 am - 7:00 pm, Mon - Fri: 8:00 am - 7:00 pm, Mon - Fri: 8:00 am - 7:00 pm, Mon - Fri: 8:00 am - 7:00 pm, Mon - Fri: 8:00 am - 7:00 pm, Sat - Sun: 11:30 am - 2:00 pm, Sat - Sun: 11:30 am - 2:00 pm, Sat - Sun: 11:30 am - 2:00 pm, Sat - Sun: 11:30 am - 2:00 pm, Sat - Sun: 11:30 am - 2:00 pm, Sat - Sun: 11:30 am - 2:00 pm",,2025-12-12,https://www.yellowpages.com/chicago-il/mip/willis-plumbing-sewer-11163748
Joe's Plumbing Service,(312) 765-7355,"2506 N Clark St",Chicago,IL,"60614",Plumbers,jpm16649@hotmail.com,http://joesplumbingserviceil.localsearch.com,,,2025-12-12,https://www.yellowpages.com/chicago-il/mip/joes-plumbing-service-481985513
Plumbing Shower & Tub Installation,(312) 535-3581,"5734 N Broadway St",Chicago,IL,"60660",Plumbers,,http://plumbingshowertubinstallationil.localsearch.com,,,2025-12-12,https://www.yellowpages.com/chicago-il/mip/plumbing-shower-tub-installation-550689038
Belllevue Place Plumbing,(312) 585-3914,"18 E Bellevue Pl",Chicago,IL,"60611",Plumbers,,http://belllevueplaceplumbing.localsearch.com,,,2025-12-12,https://www.yellowpages.com/chicago-il/mip/belllevue-place-plumbing-545496456
Repiping Plumbing,(312) 761-8628,"3701 N Broadway St",Chicago,IL,"60613",Plumbers,,http://yellowpages.com/chicago-il/mip/clear-water-plumbing-inc-470670036,"Mon - Sun: 8:00 am - 5:00 pm, Mon - Sun: 8:00 am - 5:00 pm, Mon - Sun: 8:00 am - 5:00 pm, Mon - Sun: 8:00 am - 5:00 pm","amex, discover, master card, visa",2025-12-12,https://www.yellowpages.com/chicago-il/mip/repiping-plumbing-550692174
Top Quality Plumbing & Sewer,(773) 585-3708,"6148 S Parkside Ave",Chicago,IL,"60638",Plumbers,,http://topqualityplumbingsewer.localsearch.com,,,2025-12-12,https://www.yellowpages.com/chicago-il/mip/top-quality-plumbing-sewer-480687457
Had Dad Plumbing Co,(773) 355-5018,"6633 W Raven St",Chicago,IL,"60631",Plumbers,,http://haddad-plumbing.com/contact.html,"Mon - Fri: 7:00 am - 6:00 pm, Sat - Sun: 7:00 am - 3:00 pm",,2025-12-12,https://www.yellowpages.com/chicago-il/mip/had-dad-plumbing-co-468281407
M & M Service Plumbing,"(708) 352-1712, (708) 452-5373","4750 N Milwaukee Ave",Chicago,IL,"60630",Plumbers,,http://mmserviceplumbing21886016.localsearch.com,,,2025-12-12,https://www.yellowpages.com/chicago-il/mip/m-m-service-plumbing-21886016
