"name","phones","street","city","state","zipcode","categories","email","website","working_hours","payment_methods","extraction_date","original_listing_url"
Plumbing & Foundation Texmex,"(469) 317-9359, (888) 444-4435, (972) 331-7550, (972) 331-7770","1972 California Crossing Rd",Dallas,TX,"75220","Plumbers, Plumbing Fixtures Parts & Supplies-Wholesale & Manufacturers",,https://dallas-plumbertx.com,"Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm",paypal,2025-12-17,https://www.yellowpages.com/dallas-tx/mip/plumbing-foundation-texmex-2356617
Barbosa Plumbing & Air Conditioning,"(214) 351-7030, (214) 351-7035, (972) 845-8087","",Dallas,TX,"75220",Plumbers,matt@barbosamechanical.com,http://barbosamechanical.com,"Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Mon - Fri: 8:00 am - 8:00 pm, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours, Sat - Sun: Open 24 Hours","amex, cash, check, debit, discover, financing available, master card, visa",2025-12-17,https://www.yellowpages.com/dallas-tx/mip/barbosa-plumbing-air-conditioning-550492078
Daum Plumbing Company,(972) 241-7000,"2435 Squire Pl Ste 200",Dallas,TX,"75234",Plumbers,kathyadaum@earthlink.net,http://daumplumbingcompany.localsearch.com,"Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm","amex, cash, check, debit, diners club, discover, master card, visa",2025-12-17,https://www.yellowpages.com/dallas-tx/mip/daum-plumbing-company-5618753
Business Name: Billygo - Plumbing,(214) 751-8393,"18333 Preston Rd",Dallas,TX,"75252",Plumbers,,http://businessnamebillygoplumbing.localsearch.com,,,2025-12-17,https://www.yellowpages.com/dallas-tx/mip/business-name-billygo-plumbing-572748536
Hayes Plumbing,"(214) 343-1427, (214) 343-8611","10627 Royalwood Dr",Dallas,TX,"75238",Plumbers,,http://hayesplumbingtx.localsearch.com,"Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm, Mon - Fri: 7:30 am - 5:00 pm","amex, cash, check, debit, diners club, discover, master card, visa",2025-12-17,https://www.yellowpages.com/dallas-tx/mip/hayes-plumbing-1861860
Dallas Constructors Inc,(972) 620-2327,"13627 Tanglewood Dr",Dallas,TX,"75234","Building Contractors-Commercial & Industrial, General Contractors, Plumbers, Real Estate Developers",,https://dallascityhall.com/departments/sustainabledevelopment/buildinginspection/Pages/april.aspx,,,2025-12-17,https://www.yellowpages.com/dallas-tx/mip/dallas-constructors-inc-8215894
Emergency Plumbing,(972) 581-0411,"10051 Whitehurst Dr",Dallas,TX,"75243",Plumbers,info@reevesfamilyplumbing.com,http://yellowpages.com/dallas-tx/mip/benjamin-franklin-plumbing-dallas-473442632,,"amex, check, discover, master card, visa",2025-12-17,https://www.yellowpages.com/dallas-tx/mip/emergency-plumbing-523465971
Emergency Plumbers,(469) 779-3891,"102 E Jefferson Blvd",Dallas,TX,"75203",Plumbers,,http://yellowpages.com/dallas-tx/mip/sheffield-plumbing-co-8226012,,"amex, discover, master card, visa",2025-12-17,https://www.yellowpages.com/dallas-tx/mip/emergency-plumbers-560233046
Handy Dan,"(214) 252-1628, (214) 252-1629","3838 Oak Lawn Ave",Dallas,TX,"75219",Plumbers,,https://handy-dan.com/contact.php,,,2025-12-17,https://www.yellowpages.com/dallas-tx/mip/handy-dan-466059939
Dig Tech,"(972) 488-8108, (972) 488-9910","10931 Dennis Rd",Dallas,TX,"75229","Building Contractors, Building Contractors-Commercial & Industrial, General Contractors, Plumbers",,http://www.pipebuster.com,"Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Mon - Fri: 7:30 am - 7:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm, Sat - Sun: 8:00 am - 4:00 pm","amex, cash, check, debit, diners club, discover, master card, visa",2025-12-17,https://www.yellowpages.com/dallas-tx/mip/dig-tech-10007951
