"name","phones","street","city","state","zipcode","categories","email","website","working_hours","payment_methods","extraction_date","original_listing_url"
Plumbing Wholesale Outlet Inc,(626) 281-7600,"17 N 1st St",Alhambra,CA,"91801","Plumbers, Plumbing Fixtures, Parts & Supplies, Plumbing Fixtures Parts & Supplies-Wholesale & Manufacturers",,http://pwooutlet.com,"Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm, Sat: 7:00 am - 4:00 pm","all major credit cards, amex, check, debit, discover, mastercard, visa",2025-12-11,https://www.yellowpages.com/alhambra-ca/mip/plumbing-wholesale-outlet-inc-505051277
Anselmos Plumbing,"(310) 473-8745, (310) 475-0044","11605 W Pico Blvd",Los Angeles,CA,"90064","Air Conditioning Contractors & Systems, Altering & Remodeling Contractors, Heating Contractors & Specialties, Plumbers",,http://anselmosplumbingca.localsearch.com,,"amex, cash, check, debit, diners club, discover, master card, visa",2025-12-11,https://www.yellowpages.com/los-angeles-ca/mip/anselmos-plumbing-4309899
SOS Plumbing & Solar,(310) 474-2663,"1810 Parnell Ave",Los Angeles,CA,"90025",Plumbers,,http://sosleak.com,,,2025-12-11,https://www.yellowpages.com/los-angeles-ca/mip/sos-plumbing-solar-2300876
Rami Express Plumbing,(310) 550-0653,"1472 S Bedford St",Los Angeles,CA,"90035",Plumbers,,http://ramiexpressplumbing.localsearch.com,Mon - Sun: 7:00 am - 10:00 pm,,2025-12-11,https://www.yellowpages.com/los-angeles-ca/mip/rami-express-plumbing-560788529
Little Red Truck Plumbing,(310) 392-5062,"8201 Belford Ave",Los Angeles,CA,"90045",Plumbers,,http://littleredtruckplumbing.localsearch.com,Mon - Fri: 8:30 am - 5:30 pm,,2025-12-11,https://www.yellowpages.com/los-angeles-ca/mip/little-red-truck-plumbing-463487955
Winnetka Plumbing,(818) 210-4565,,Los Angeles,CA,"91306","Plumbers, Plumbing-Drain & Sewer Cleaning, Plumbing Engineers, Water Filtration & Purification Equipment, Water Heater Repair, Water Heaters",aura@winnetka--plumbing.com,http://winnetka--plumbing.com,"Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm, Mon - Sun: 7:00 am - 7:00 pm","all major credit cards, amex, check, mastercard, visa",2025-12-11,https://www.yellowpages.com/los-angeles-ca/mip/winnetka-plumbing-538428489
Agosto Plumbing,(424) 256-0701,"1001 Westwood Blvd",Los Angeles,CA,"90024",Plumbers,,https://voxservices.net,Mon - Sun: 6:00 am - 12:00 am,,2025-12-11,https://www.yellowpages.com/los-angeles-ca/mip/agosto-plumbing-580142034
Action Plumbing & Drain,(818) 275-1158,"2272 Colorado Blvd Suite 1205",Los Angeles,CA,"90041","Plumbers, Plumbing-Drain & Sewer Cleaning, Sewer Cleaners & Repairers",actionplumbing4uu@gmail.com,,"Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours","cash, check",2025-12-11,https://www.yellowpages.com/los-angeles-ca/mip/action-plumbing-drain-503335743
GCH Plumbing,(310) 557-6249,"5833 David Ave",Los Angeles,CA,"90034",Plumbers,,http://gchplumbing.localsearch.com,Mon - Sun: Open 24 Hours,,2025-12-11,https://www.yellowpages.com/los-angeles-ca/mip/gch-plumbing-31033942
Cal West Plumbing,(310) 824-5811,"10920 Wilshire Blvd",Los Angeles,CA,"90024",Plumbers,,http://local.yp.com/Listings/Details.aspx,Mon - Sun: 7:00 am - 7:00 pm,,2025-12-11,https://www.yellowpages.com/los-angeles-ca/mip/cal-west-plumbing-560777430
