"name","phones","street","city","state","zipcode","categories","email","website","working_hours","payment_methods","extraction_date","original_listing_url"
EZ Plumbing Septic Tanks,(786) 306-7781,"14001 NW 2nd Ave",Miami,FL,"33168",Plumbers,,https://septicservicesmiami.com,Mon - Sat: 6:00 am - 10:00 pm,,2025-12-15,https://www.yellowpages.com/miami-fl/mip/ez-plumbing-septic-tanks-550038047
Excellent Plumbing,(786) 970-9702,"15755 SW 148th Street Rd",Miami,FL,"33186","Plumbers, Water Heater Repair",,http://excellentplumbingfl.localsearch.com,,,2025-12-15,https://www.yellowpages.com/miami-fl/mip/excellent-plumbing-546116061
Andy's Plumbing,"(645) 202-7309, (786) 632-5531","10201 Hammocks Blvd",Miami,FL,"33196",Plumbers,,https://voxservices.net,"Mon - Sun: 6:00 am - 12:00 am, Mon - Sun: 6:00 am - 12:00 am",,2025-12-15,https://www.yellowpages.com/miami-fl/mip/andys-plumbing-580143355
AJP Plumbing,(305) 906-2457,"",Miami,FL,"33155","Heating Contractors & Specialties, Plumbers",,https://go.thryv.com/site/gth89fgkz1hgcqg8,"Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours",,2025-12-15,https://www.yellowpages.com/miami-fl/mip/ajp-plumbing-548203626
Goldstar Plumbing,(305) 894-9917,"2280 NW 20th St",Miami,FL,"33142",Plumbers,,http://goldstarplumbing545194997.localsearch.com,,,2025-12-15,https://www.yellowpages.com/miami-fl/mip/goldstar-plumbing-545194997
South West 27th Avenue Plumbers,(954) 361-7265,"1221 SW 27th Ave",Miami,FL,"33135","Air Conditioning Service & Repair, Heating, Ventilating & Air Conditioning Engineers, Plumbers",,http://southwest27thavenueplumbers.localsearch.com,"Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours","all major credit cards, amex, check, debit, discover, mastercard, visa",2025-12-15,https://www.yellowpages.com/miami-fl/mip/south-west-27th-avenue-plumbers-521806676
Rcr Plumbing Services Inc,"(305) 290-2269, (305) 336-1646","8835 SW 107th Ave Suite 169",Miami,FL,"33176","Home Improvements, Plumbers",rcrplumbingservices@gmail.com,http://rcrplumbingservicesinc.localsearch.com,"Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours","all major credit cards, amex, check, debit, discover, mastercard, visa",2025-12-15,https://www.yellowpages.com/miami-fl/mip/rcr-plumbing-services-inc-508615512
Rollan Plumbing Inc,"(305) 232-0130, (305) 256-9148","13036 SW 123rd Ave",Miami,FL,"33186",Plumbers,,http://rollanplumbinginc.localsearch.com,,,2025-12-15,https://www.yellowpages.com/miami-fl/mip/rollan-plumbing-inc-3463167
Fix Plumbing Corp,"(305) 343-8127, (786) 343-8127","2531 SW 102nd Ave",Miami,FL,"33165","Plumbers, Plumbing-Drain & Sewer Cleaning, Sewer Cleaners & Repairers",,http://fixplumbingcorp.localsearch.com,,,2025-12-15,https://www.yellowpages.com/miami-fl/mip/fix-plumbing-corp-487257913
Jonathan Plumbing Inc,(305) 200-3399,"9807 NW 80th Ave Unit 11H",Hialeah Gardens,FL,"33016",Plumbers,,http://jonathanplumbinginc.localsearch.com,,,2025-12-15,https://www.yellowpages.com/hialeah-gardens-fl/mip/jonathan-plumbing-inc-545898239
V & D Plumbing Service Inc,(305) 393-4726,"14266 SW 162nd St",Miami,FL,"33177",Plumbers,,http://vdplumbingserviceinc.localsearch.com,,,2025-12-15,https://www.yellowpages.com/miami-fl/mip/v-d-plumbing-service-inc-534495559
Toche Inc,(305) 805-4975,"6892 NW 76th St",Medley,FL,"33166",Plumbers,,http://toche.com,,,2025-12-15,https://www.yellowpages.com/medley-fl/mip/toche-inc-12908389
Cagle Sales Inc,"(305) 456-4024, (305) 669-2564","8304 NW 14th St",Doral,FL,"33126",Plumbers,,https://www.caglesales.com/contact,"Mon - Fri: 8:00 am - 5:00 pm, Mon - Fri: 8:00 am - 5:00 pm, Mon - Fri: 8:00 am - 5:00 pm, Mon - Fri: 8:00 am - 5:00 pm","master card, visa",2025-12-15,https://www.yellowpages.com/doral-fl/mip/cagle-sales-inc-543536624
Champ Plumbing Corp,(305) 638-7777,"3555 NW 52nd St",Miami,FL,"33142",Plumbers,,http://www.auroraplumbingcorp.com,Mon - Fri: 8:00 am - 5:00 pm,,2025-12-15,https://www.yellowpages.com/miami-fl/mip/champ-plumbing-corp-457500624
MKC South Florida,(786) 784-6884,"12855 SW 136th Ave",Miami,FL,"33186",Plumbers,mkcsouthflorida@gmail.com,https://mkcsouthflorida.com,Mon - Sat: 7:00 am - 7:00 pm,,2025-12-15,https://www.yellowpages.com/miami-fl/mip/mkc-south-florida-579639271
Eagle Plumbing Inc,(305) 988-9222,,Miami Gardens,FL,"33055",Plumbers,eagleplumbingbackoffice@gmail.com,http://www.eagle.plumbing,Mon - Sat: 9:00 am - 5:00 pm,,2025-12-15,https://www.yellowpages.com/miami-gardens-fl/mip/eagle-plumbing-inc-543541215
A & O Plumbing Corp,"(786) 845-8223, (786) 845-8262","6700 NW 33rd Ave",Miami,FL,"33147",Plumbers,estimates@ao-plumbing.org,http://ao-plumbing.org,"Mon - Sat: 8:00 am - 4:30 pm, Mon - Sat: 8:00 am - 4:30 pm",,2025-12-15,https://www.yellowpages.com/miami-fl/mip/a-o-plumbing-corp-527817864
Water Leak Detectors,(305) 740-0402,"882 SW 70th Ave",Miami,FL,"33144",Plumbers,clearwatermiami@gmail.com,http://waterleakdetectors.localsearch.com,"Mon - Fri: 8:00 am - 6:00 pm, Mon - Fri: 8:00 am - 6:00 pm, Mon - Fri: 8:00 am - 6:00 pm, Mon - Fri: 8:00 am - 6:00 pm","check, debit, master card, visa",2025-12-15,https://www.yellowpages.com/miami-fl/mip/water-leak-detectors-7393947
EZ Miami Plumbing,(305) 798-0751,"1201 S Le Jeune Rd",Miami,FL,"33134",Plumbers,ezangelsplumbing@gmail.com,https://www.ezmiamiplumbing.com,"Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours","amex, cash, check, debit, diners club, discover, master card, visa",2025-12-15,https://www.yellowpages.com/miami-fl/mip/ez-miami-plumbing-531221060
Vcg Plumbers Hialeah,(305) 901-7224,"1165 W 49th St",Hialeah,FL,"33012","Building Contractors, General Contractors, Plumbers",,http://vcgplumbershialeah.localsearch.com,,,2025-12-15,https://www.yellowpages.com/hialeah-fl/mip/vcg-plumbers-hialeah-521796506
Grand Plumbing,"(786) 337-9090, (786) 337-9097","2315 W 2nd Ave",Hialeah,FL,"33010",Plumbers,,http://grandplumbing.net,"Mon - Fri: 8:00 am - 5:00 pm, Mon - Fri: 8:00 am - 5:00 pm",,2025-12-15,https://www.yellowpages.com/hialeah-fl/mip/grand-plumbing-475321372
