"name","phones","street","city","state","zipcode","categories","email","website","working_hours","payment_methods","extraction_date","original_listing_url"
West 47th Plumbing Sewer and Drain,(212) 293-1588,"76 W 47th St",New York,NY,"10036","Plumbers, Plumbing Contractors-Commercial & Industrial, Sewer Contractors",west47thplumbingseweranddrain@yahoo.com,http://www.mercurybarnyc.com,"Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours","all major credit cards, check, debit, financing available, insurance",2025-12-06,https://www.yellowpages.com/new-york-ny/mip/west-47th-plumbing-sewer-and-drain-462462126
Skillman Ave Plumbers and Heaters,(718) 663-2854,"4617 Skillman Ave",Sunnyside,NY,"11104","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers, Sewer Contractors",,http://skillmanaveplumbersandheaters.localsearch.com,"Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours","all major credit cards, cash, check, debit",2025-12-10,https://www.yellowpages.com/sunnyside-ny/mip/skillman-ave-plumbers-and-heaters-504749289
Pacific Plumbing,"(718) 472-3903, (718) 472-3904","378 Mcguinness Blvd",Brooklyn,NY,"11222","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Mechanical Contractors, Plumbers",,http://pacificplumbinginc.com,,,2025-12-10,https://www.yellowpages.com/brooklyn-ny/mip/pacific-plumbing-467354003
New York Plumber,(347) 382-7979,"1500 Broadway",New York,NY,"10036",Plumbers,,http://newyorkplumber.localsearch.com,,,2025-12-10,https://www.yellowpages.com/new-york-ny/mip/new-york-plumber-526386320
Davis & Warshow Inc,(212) 247-7710,"701 10th Ave",New York,NY,"10036","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Home Centers, Plumbers",,http://www.daviswarshow.com,"Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm, Mon - Fri: 7:00 am - 5:00 pm",,2025-12-06,https://www.yellowpages.com/new-york-ny/mip/davis-warshow-inc-465010379
"0 O 0 & 0 24 Hour Emergency Plumbing","(646) 509-2207, (646) 509-2245","594 Columbus Ave",New York,NY,"10024",Plumbers,,http://yellowpages.com/new-york-ny/mip/cash-for-cars-503981212,,"amex, cash, master card, visa",2025-12-10,https://www.yellowpages.com/new-york-ny/mip/0-o-0-0-24-hour-emergency-plumbing-473393164
Great City Plumbing Inc,"(212) 608-8089, (718) 827-7200","16 Bowery",New York,NY,"10013","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers",,,"Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am, Mon - Sun: 12:00 pm - 12:00 am","amex, debit, diners club, master card, visa",2025-12-06,https://www.yellowpages.com/new-york-ny/mip/great-city-plumbing-inc-466832771
A & C Heating,"(718) 349-2076, (718) 383-9300","111 Clay St",Brooklyn,NY,"11222","Air Conditioning Contractors & Systems, Heating Contractors & Specialties, Plumbers",,http://www.ac-heatingservices.com/contact.html,,,2025-12-10,https://www.yellowpages.com/brooklyn-ny/mip/a-c-heating-460229477
Plumbing & Heating Commercial Service New York,(917) 828-8127,"18 Rivington St",New York,NY,"10002",Plumbers,,,,,2025-12-06,https://www.yellowpages.com/new-york-ny/mip/plumbing-heating-commercial-service-new-york-462838625
Antis Contracting Corp,(718) 482-0470,"3721 Vernon Blvd",Long Island City,NY,"11101","General Contractors, Plumbers, Real Estate Developers",,http://antiscontractingcorpny.localsearch.com,,,2025-12-10,https://www.yellowpages.com/long-island-city-ny/mip/antis-contracting-corp-466445775
