"name","phones","street","city","state","zipcode","categories","email","website","working_hours","payment_methods","extraction_date","original_listing_url"
The Genteel Plumbers,"(415) 484-3631, (415) 682-4908, (833) 436-8335","1855 45th Ave",San Francisco,CA,"94122",Plumbers,,https://genteelplumbers.com,"Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours",,2025-12-05,https://www.yellowpages.com/san-francisco-ca/mip/the-genteel-plumbers-568313910
Roto-Rooter,(628) 333-8513,"3840 Bayshore Blvd",Brisbane,CA,"94005","Fire & Water Damage Restoration, Grease Traps, Plumbers, Plumbing Contractors-Commercial & Industrial, Plumbing-Drain & Sewer Cleaning, Plumbing, Drains & Sewer Consultants, Sewer Cleaners & Repairers, Sewer Contractors, Water Damage Emergency Service, Water Damage Restoration, Water Heater Repair, Water Heaters",,https://www.rotorooter.com/sanfrancisco/,"Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours, Mon - Sun: Open 24 Hours",,2025-12-05,https://www.yellowpages.com/brisbane-ca/mip/roto-rooter-4267931?lid=1002170976323
George Salet Plumbing Inc,(650) 755-8108,,Daly City,CA,"94015",Plumbers,,http://www.plumbingpro.com/,,,2025-12-05,https://www.yellowpages.com/daly-city-ca/mip/george-salet-plumbing-inc-16290632
Tromborg Royal Plumbing & Heating,(415) 585-4034,,San Francisco,CA,"94112",Plumbers,,,,,2025-12-05,https://www.yellowpages.com/san-francisco-ca/mip/tromborg-royal-plumbing-heating-535281680
Resolve Tankless Water Heaters Plumbers,(415) 854-8170,"275 Sacramento St",San Francisco,CA,"94111",Plumbers,,https://voxservices.net,Mon - Sun: 6:00 am - 12:00 am,,2025-12-05,https://www.yellowpages.com/san-francisco-ca/mip/resolve-tankless-water-heaters-plumbers-580142168
Amwest Mechanical,(415) 550-7530,"2248 Jerrold Ave",San Francisco,CA,"94124",Plumbers,,http://amwestmechanical.com,,,2025-12-05,https://www.yellowpages.com/san-francisco-ca/mip/amwest-mechanical-458684352
Bell Plumbing,"(415) 550-0777, (650) 991-1550","2300 26th Ave",San Francisco,CA,"94116","Plumbers, Plumbing-Drain & Sewer Cleaning, Sewer Cleaners & Repairers, Sewer Contractors, Water Heaters",,http://thinkbellbrothers.com,"Mon - Fri: 7:00 am - 9:00 pm, Mon - Fri: 7:00 am - 9:00 pm, Mon - Fri: 7:00 am - 9:00 pm, Mon - Fri: 7:00 am - 9:00 pm, Mon - Fri: 7:00 am - 9:00 pm, Mon - Fri: 7:00 am - 9:00 pm, Mon - Fri: 7:00 am - 9:00 pm, Mon - Fri: 7:00 am - 9:00 pm, Mon - Fri: 7:00 am - 9:00 pm, Mon - Fri: 7:00 am - 9:00 pm, Sat: 7:00 am - 6:00 pm, Sat: 7:00 am - 6:00 pm, Sat: 7:00 am - 6:00 pm, Sat: 7:00 am - 6:00 pm, Sat: 7:00 am - 6:00 pm, Sat: 7:00 am - 6:00 pm, Sat: 7:00 am - 6:00 pm, Sat: 7:00 am - 6:00 pm, Sat: 7:00 am - 6:00 pm, Sat: 7:00 am - 6:00 pm",,2025-12-05,https://www.yellowpages.com/san-francisco-ca/mip/bell-plumbing-536041822
Smelly Mel's Plumbing Inc,(415) 885-1786,"1030 Hyde St",San Francisco,CA,"94109",Plumbers,,,,,2025-12-05,https://www.yellowpages.com/san-francisco-ca/mip/smelly-mels-plumbing-inc-503426616
L & S Plumbing,(415) 970-1538,,San Francisco,CA,"94110","Plumbers, Plumbing Contractors-Commercial & Industrial",,,,,2025-12-05,https://www.yellowpages.com/san-francisco-ca/mip/l-s-plumbing-18969543
Precision Piping/Plumbing,"(415) 385-5528, (415) 742-0520, (415) 742-0521","2082 42nd Ave",San Francisco,CA,"94116",Plumbers,Precisionpiping@yahoo.com,,,,2025-12-05,https://www.yellowpages.com/san-francisco-ca/mip/precision-piping-plumbing-18941625
